,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
4533,1948.0,AUSTRALIA,Queensland,Rib Reef off Townsville,Fishing,N,Hand injured,No Values
4534,1948.0,NORTH PACIFIC OCEAN,Between Kwajalein Atoll & Johnston Island,500 nautical miles southwest of Johnston Island,Boarding,Y,"32 survived, 5 perished; sharks fed on the dead but did not bite the survivors",No Values
4535,1948.0,AUSTRALIA,Torres Strait,"Saibai Island, 80 miles north of Cape York",Diving,N,Leg bitten,No Values
4536,1948.0,GREECE,Attica,Keratsini ,Swimming,Y,FATAL,Other
4537,1948.0,USA,Hawaii,"Off Makapauu Point, O'ahu",Swimming,N,Leg bitten,No Values
4538,1948.0,USA,Hawaii,"Off Makapauu Point, O'ahu",Fishing,N,Survived,No Values
4539,1848.0,TURKEY,Adana Province,Yumurtalik,Swimming,Y,FATAL,No Values
4540,1948.0,MID ATLANTIC OCEAN,,Bound from New York to London in ballast,Other,Y,"FATAL, 2 men killed by sharks, 20 survived",No Values
4541,1948.0,IRAN,Bandar Mashur sea inlet,,Bathing,Y,"FATAL, left arm & left buttock severed ",No Values
4542,1948.0,IRAN,Shatt-al-Arab River,,Other,Y,"FATAL, right arm  severely bitten & surgically amputated, died 12 to 14 hours later   ",No Values
4543,1948.0,IRAN,Shatt-al-Arab River,Bashamir,Swimming,N,"Quadriceps lacerated, femur exposed",No Values
4544,1948.0,BAHAMAS,Bimini Islands,Lerner Marine Laboratory,Spearfishing,N,Shark that he speared bit his calf     PROVOKED INCIDENT,Lemon shark
4545,1948.0,USA,US Virgin Islands,"St. John, Genti Bay",Swimming,Y,FATAL,No Values
4546,1948.0,NORTHERN MARIANA ISLANDS,Saipan,,Swimming,N,Heel bitten,No Values
4547,1948.0,IRAN,Shatt-al-Arab River,,Fishing,N,"8"" x 4"" left antecubital fossa of muscle & skin removed  PROVOKED INCIDENT",No Values
4548,1948.0,SOUTH AFRICA,Western Cape Province,Gansbaai,Other,N,Groenwald's arm lacerated by the shark PROVOKED INCIDENT,No Values
